country,country code,measure,1995,1996,1997,1998,1999,2000
Canada,CAN,consumption,22.62,23.41,23.23,24.1,24.97,23.49
Canada,CAN,farmed,65207,72376,81676,91046,112916,127665
Canada,CAN,population,29137000,29442000,29746000,30020000,30270000,30530000
Canada,CAN,wild caught,948410,1195329,1274391,1291796,1277027,1121610
Mexico,MEX,consumption,9.67,10.42,11.26,9.23,9.17,9.61
Mexico,MEX,farmed,25580,31339,39500,41068,48443,53918
Mexico,MEX,population,89155000,90784000,92389000,93977000,95557000,97112000
Mexico,MEX,wild caught,1380516.375,1500101.5,1533101.375,1193486.25,1238933.5,1351027.375
United States,USA,consumption,21.96,21,20.96,,21.6,22.04
United States,USA,farmed,413454,393346,438356,445119,479212,456830
United States,USA,population,264020000,267301000,270667000,274123000,277547000,280817000
United States,USA,wild caught,5414226,5268586,5385731,5059144,5205206,5041558
